##Thermal_diffusivity

##General_information
#Database,set3.mdb
#Instrument,#LFA_467
#Identity,graphite putty set 3
#Date,2022-12-12
#Material,03 - A
#Ref_temperature /�C,20.0
#Ref_density /(g/cm^3),1.000
#Sample,03
#Type,#Single_layer
#Sample position,A
#Spotsize,2.8
#Filter,0
#Thickness_RT/mm,1.5900
#Diameter/mm,9.800
#Sensor,InSb (HT)
#Operator,MJA
#Remark_mment,---
#Cp_table,Cp_const
#Expansion_table,dL_const
#CalcCode,Standard + p.c./l/0-0-0
#MFC_Purge2_Gas,ARGON
#MFC_Protective_Gas,ARGON
,

##Results
#Shot_number,#Temperature/C,#Model,#Diffusivity/(mm^2/s),#Uncertainty/%,#Laser_voltage/V,#Pulse_width/ms,#Half_time,#T_Infin,#Ampl_gain,#Pulse_integr
121,820.0,Standard + p.c.(l),6.771,1.1,250.0,0.60,51.9,6.043,1261692.6,1.926
122,820.0,Standard + p.c.(l),6.776,1.1,250.0,0.60,51.9,6.26,1261692.6,2.052
123,820.0,Standard + p.c.(l),6.769,1.1,250.0,0.60,51.9,6.102,1261692.6,1.898
#Mean,820.0,,6.772,,,,,,,
#Std_Dev,0.0,,0.004,,,,,,,
124,840.0,Standard + p.c.(l),6.765,1.1,250.0,0.60,51.8,6.342,1261692.6,1.909
125,840.0,Standard + p.c.(l),6.749,1.1,250.0,0.60,52.1,6.396,1261692.6,2.039
126,840.0,Standard + p.c.(l),6.780,1.1,250.0,0.60,51.6,6.44,1261692.6,2.068
#Mean,840.0,,6.764,,,,,,,
#Std_Dev,0.0,,0.016,,,,,,,
127,860.0,Standard + p.c.(l),6.763,1.0,250.0,0.60,51.8,6.633,1261692.6,2.066
128,860.0,Standard + p.c.(l),6.757,1.1,250.0,0.60,51.9,6.732,1261692.6,2.073
129,860.0,Standard + p.c.(l),6.749,1.1,250.0,0.60,52.0,6.607,1261692.6,2.044
#Mean,860.0,,6.756,,,,,,,
#Std_Dev,0.0,,0.007,,,,,,,
130,880.0,Standard + p.c.(l),6.734,1.0,250.0,0.60,52.0,6.782,1261692.6,2.058
131,880.0,Standard + p.c.(l),6.770,1.0,250.0,0.60,51.7,6.782,1261692.6,2.079
132,880.0,Standard + p.c.(l),6.776,1.0,250.0,0.60,51.5,6.729,1261692.6,1.893
#Mean,880.0,,6.760,,,,,,,
#Std_Dev,0.0,,0.023,,,,,,,
133,900.0,Standard + p.c.(l),6.744,1.0,250.0,0.60,51.7,7.086,1261692.6,2.06
134,900.0,Standard + p.c.(l),6.752,1.0,250.0,0.60,51.6,6.049,1089206.3,2.065
135,900.0,Standard + p.c.(l),6.742,1.0,250.0,0.60,51.8,6.048,1089206.3,1.897
#Mean,900.0,,6.746,,,,,,,
#Std_Dev,0.0,,0.005,,,,,,,
136,920.0,Standard + p.c.(l),6.736,1.0,250.0,0.60,51.8,6.244,1089206.3,2.07
137,920.0,Standard + p.c.(l),6.744,1.0,250.0,0.60,51.7,6.179,1089206.3,1.901
138,920.0,Standard + p.c.(l),6.721,1.0,250.0,0.60,52.0,6.312,1089206.3,1.87
#Mean,920.0,,6.734,,,,,,,
#Std_Dev,0.0,,0.011,,,,,,,
139,940.0,Standard + p.c.(l),6.736,1.0,250.0,0.60,51.7,6.308,1089206.3,1.905
140,940.0,Standard + p.c.(l),6.741,1.0,250.0,0.60,51.8,6.35,1089206.3,1.907
141,940.0,Standard + p.c.(l),6.757,1.0,250.0,0.60,51.4,6.473,1089206.3,2.041
#Mean,940.0,,6.744,,,,,,,
#Std_Dev,0.0,,0.011,,,,,,,
142,960.0,Standard + p.c.(l),6.728,1.0,250.0,0.60,51.8,6.623,1089206.3,1.887
143,960.0,Standard + p.c.(l),6.763,1.0,250.0,0.60,51.2,6.584,1089206.3,2.016
144,960.0,Standard + p.c.(l),6.758,1.0,250.0,0.60,51.3,6.516,1089206.3,1.906
#Mean,960.0,,6.750,,,,,,,
#Std_Dev,0.0,,0.019,,,,,,,
145,980.0,Standard + p.c.(l),6.722,1.0,250.0,0.60,51.5,6.587,1089206.3,1.89
146,980.0,Standard + p.c.(l),6.746,1.0,250.0,0.60,51.6,6.728,1089206.3,2.104
147,980.0,Standard + p.c.(l),6.731,1.0,250.0,0.60,51.6,6.739,1089206.3,2.083
