##Thermal_diffusivity

##General_information
#Database,set1.mdb
#Instrument,#LFA_467
#Identity,graphite putty set 1
#Date,2022-12-07
#Material,3 - C
#Ref_temperature /�C,20.0
#Ref_density /(g/cm^3),1.000
#Sample,3
#Type,#Single_layer
#Sample position,C
#Spotsize,2.8
#Filter,0
#Thickness_RT/mm,3.0100
#Diameter/mm,9.800
#Sensor,InSb (HT)
#Operator,MJA
#Remark_mment,---
#Cp_table,Cp_const
#Expansion_table,dL_const
#CalcCode,Standard + p.c./l/0-0-0
#MFC_Purge2_Gas,ARGON
#MFC_Protective_Gas,ARGON
,

##Results
#Shot_number,#Temperature/C,#Model,#Diffusivity/(mm^2/s),#Uncertainty/%,#Laser_voltage/V,#Pulse_width/ms,#Half_time,#T_Infin,#Ampl_gain,#Pulse_integr
155,1040.0,Standard + p.c.(l),3.592,0.2,250.0,0.60,315.1,7.119,2368343.0,1.926
156,1040.0,Standard + p.c.(l),3.605,0.2,250.0,0.60,314.3,7.067,2368343.0,2.131
#Mean,1040.0,,3.629,,,,,,,
#Std_Dev,0.0,,0.054,,,,,,,
157,1060.0,Standard + p.c.(l),3.703,0.3,250.0,0.60,307.1,7.235,2368343.0,1.93
158,1060.0,Standard + p.c.(l),3.652,0.2,250.0,0.60,310.3,7.289,2368343.0,1.896
159,1060.0,Standard + p.c.(l),3.655,0.2,250.0,0.60,310.0,7.151,2368343.0,2.076
#Mean,1060.0,,3.670,,,,,,,
#Std_Dev,0.0,,0.029,,,,,,,
160,1080.0,Standard + p.c.(l),3.753,0.3,250.0,0.60,302.6,7.417,2368343.0,2.063
161,1080.0,Standard + p.c.(l),3.705,0.2,250.0,0.60,305.2,7.262,2368343.0,2.084
162,1080.0,Standard + p.c.(l),3.711,0.2,250.0,0.60,306.1,7.385,2368343.0,1.919
#Mean,1080.0,,3.723,,,,,,,
#Std_Dev,0.0,,0.026,,,,,,,
163,1100.0,Standard + p.c.(l),3.800,0.3,250.0,0.60,297.3,7.566,2368343.0,1.924
164,1100.0,Standard + p.c.(l),3.702,0.2,250.0,0.60,300.4,7.609,2368343.0,1.901
165,1100.0,Standard + p.c.(l),3.805,0.2,250.0,0.60,300.5,7.244,2368343.0,2.114
#Mean,1100.0,,3.769,,,,,,,
#Std_Dev,0.0,,0.058,,,,,,,
166,1120.0,Standard + p.c.(l),3.905,0.3,250.0,0.60,292.3,7.677,2368343.0,1.914
167,1120.0,Standard + p.c.(l),3.803,0.2,250.0,0.60,296.8,7.477,2368343.0,2.099
168,1120.0,Standard + p.c.(l),3.790,0.3,250.0,0.60,297.0,7.578,2368343.0,1.921
#Mean,1120.0,,3.833,,,,,,,
#Std_Dev,0.0,,0.063,,,,,,,
169,1140.0,Standard + p.c.(l),3.955,0.4,250.0,0.60,286.8,7.922,2368343.0,2.123
