##Thermal_diffusivity

##General_information
#Database,set2.mdb
#Instrument,#LFA_467
#Identity,graphite putty set 2
#Date,2022-12-09
#Material,01 - D
#Ref_temperature /�C,20.0
#Ref_density /(g/cm^3),1.000
#Sample,01
#Type,#Single_layer
#Sample position,D
#Spotsize,2.8
#Filter,0
#Thickness_RT/mm,1.9600
#Diameter/mm,9.800
#Sensor,InSb (HT)
#Operator,MJA
#Remark_mment,---
#Cp_table,Cp_const
#Expansion_table,dL_const
#CalcCode,Standard + p.c./l/0-0-0
#MFC_Purge2_Gas,ARGON
#MFC_Protective_Gas,ARGON
,

##Results
#Shot_number,#Temperature/C,#Model,#Diffusivity/(mm^2/s),#Uncertainty/%,#Laser_voltage/V,#Pulse_width/ms,#Half_time,#T_Infin,#Ampl_gain,#Pulse_integr
124,840.0,Standard + p.c.(l),4.493,0.2,250.0,0.60,112.8,7.271,1667446.2,2.095
125,840.0,Standard + p.c.(l),4.471,0.2,250.0,0.60,113.3,7.166,1667446.2,1.917
126,840.0,Standard + p.c.(l),4.476,0.2,250.0,0.60,113.1,7.339,1667446.2,2.101
#Mean,840.0,,4.480,,,,,,,
#Std_Dev,0.0,,0.011,,,,,,,
127,860.0,Standard + p.c.(l),4.498,0.2,250.0,0.60,112.6,7.607,1667446.2,2.083
128,860.0,Standard + p.c.(l),4.470,0.2,250.0,0.60,113.1,7.399,1667446.2,2.074
129,860.0,Standard + p.c.(l),4.475,0.2,250.0,0.60,113.1,7.494,1667446.2,2.059
#Mean,860.0,,4.481,,,,,,,
#Std_Dev,0.0,,0.015,,,,,,,
130,880.0,Standard + p.c.(l),4.486,0.2,250.0,0.60,112.6,7.724,1667446.2,2.123
131,880.0,Standard + p.c.(l),4.464,0.2,250.0,0.60,113.1,7.64,1667446.2,1.939
132,880.0,Standard + p.c.(l),4.466,0.2,250.0,0.60,113.0,7.661,1667446.2,2.075
#Mean,880.0,,4.472,,,,,,,
#Std_Dev,0.0,,0.012,,,,,,,
133,900.0,Standard + p.c.(l),4.488,0.2,250.0,0.60,112.6,7.943,1667446.2,2.079
134,900.0,Standard + p.c.(l),4.461,0.2,250.0,0.60,113.1,6.666,1425652.5,1.936
135,900.0,Standard + p.c.(l),4.462,0.2,250.0,0.60,113.2,6.773,1425652.5,2.087
#Mean,900.0,,4.470,,,,,,,
#Std_Dev,0.0,,0.016,,,,,,,
136,920.0,Standard + p.c.(l),4.472,0.2,250.0,0.60,113.1,7.046,1425652.5,1.943
137,920.0,Standard + p.c.(l),4.449,0.2,250.0,0.60,113.3,6.956,1425652.5,2.086
138,920.0,Standard + p.c.(l),4.452,0.2,250.0,0.60,113.1,6.911,1425652.5,2.064
#Mean,920.0,,4.458,,,,,,,
#Std_Dev,0.0,,0.012,,,,,,,
139,940.0,Standard + p.c.(l),4.463,0.2,250.0,0.60,112.6,7.104,1425652.5,1.91
140,940.0,Standard + p.c.(l),4.448,0.2,250.0,0.60,113.0,7.069,1425652.5,2.082
141,940.0,Standard + p.c.(l),4.446,0.2,250.0,0.60,113.3,7.044,1425652.5,2.121
#Mean,940.0,,4.452,,,,,,,
#Std_Dev,0.0,,0.009,,,,,,,
142,960.0,Standard + p.c.(l),4.458,0.2,250.0,0.60,112.7,7.236,1425652.5,2.113
143,960.0,Standard + p.c.(l),4.435,0.2,250.0,0.60,113.3,7.093,1425652.5,2.093
144,960.0,Standard + p.c.(l),4.439,0.2,250.0,0.60,113.3,7.186,1425652.5,2.105
#Mean,960.0,,4.444,,,,,,,
#Std_Dev,0.0,,0.012,,,,,,,
145,980.0,Standard + p.c.(l),4.465,0.3,250.0,0.60,112.4,7.405,1425652.5,2.064
146,980.0,Standard + p.c.(l),4.439,0.2,250.0,0.60,113.1,7.462,1425652.5,2.07
