##Thermal_diffusivity

##General_information
#Database,set1.mdb
#Instrument,#LFA_467
#Identity,graphite putty set 1
#Date,2022-12-07
#Material,1 - D
#Ref_temperature /�C,20.0
#Ref_density /(g/cm^3),1.000
#Sample,1
#Type,#Single_layer
#Sample position,D
#Spotsize,2.8
#Filter,0
#Thickness_RT/mm,2.9800
#Diameter/mm,9.800
#Sensor,InSb (HT)
#Operator,MJA
#Remark_mment,---
#Cp_table,Cp_const
#Expansion_table,dL_const
#CalcCode,Standard + p.c./l/0-0-0
#MFC_Purge2_Gas,ARGON
#MFC_Protective_Gas,ARGON
,

##Results
#Shot_number,#Temperature/C,#Model,#Diffusivity/(mm^2/s),#Uncertainty/%,#Laser_voltage/V,#Pulse_width/ms,#Half_time,#T_Infin,#Ampl_gain,#Pulse_integr
107,720.0,Standard + p.c.(l),29.561,0.7,250.0,0.60,41.0,6.571,2764787.8,1.91
108,720.0,Standard + p.c.(l),29.544,0.7,250.0,0.60,41.1,6.639,2764787.8,1.929
#Mean,720.0,,29.575,,,,,,,
#Std_Dev,0.0,,0.040,,,,,,,
109,740.0,Standard + p.c.(l),29.015,0.5,250.0,0.60,41.7,6.802,2764787.8,1.919
110,740.0,Standard + p.c.(l),29.071,0.7,250.0,0.60,41.6,6.826,2764787.8,1.925
111,740.0,Standard + p.c.(l),29.034,0.7,250.0,0.60,41.8,6.672,2764787.8,1.923
#Mean,740.0,,29.040,,,,,,,
#Std_Dev,0.0,,0.028,,,,,,,
112,760.0,Standard + p.c.(l),28.705,0.6,250.0,0.60,42.3,6.997,2764787.8,2.058
113,760.0,Standard + p.c.(l),28.732,0.7,250.0,0.60,42.3,7.108,2764787.8,2.114
114,760.0,Standard + p.c.(l),28.700,0.7,250.0,0.60,42.3,6.028,2368343.0,1.919
#Mean,760.0,,28.712,,,,,,,
#Std_Dev,0.0,,0.017,,,,,,,
115,780.0,Standard + p.c.(l),28.170,0.6,250.0,0.60,43.0,6.245,2368343.0,2.113
116,780.0,Standard + p.c.(l),28.224,0.6,250.0,0.60,43.1,6.254,2368343.0,1.919
117,780.0,Standard + p.c.(l),28.066,0.7,250.0,0.60,43.6,6.166,2368343.0,1.941
#Mean,780.0,,28.153,,,,,,,
#Std_Dev,0.0,,0.081,,,,,,,
118,800.0,Standard + p.c.(l),27.642,0.7,250.0,0.60,44.0,6.414,2368343.0,1.921
119,800.0,Standard + p.c.(l),27.696,0.7,250.0,0.60,44.0,6.295,2368343.0,1.945
120,800.0,Standard + p.c.(l),27.878,0.7,250.0,0.60,43.6,6.377,2368343.0,1.959
#Mean,800.0,,27.739,,,,,,,
#Std_Dev,0.0,,0.124,,,,,,,
121,820.0,Standard + p.c.(l),27.372,0.6,250.0,0.60,44.5,6.561,2368343.0,1.934
122,820.0,Standard + p.c.(l),27.462,0.6,250.0,0.60,44.4,6.724,2368343.0,1.926
123,820.0,Standard + p.c.(l),27.472,0.7,250.0,0.60,44.3,6.633,2368343.0,1.939
#Mean,820.0,,27.435,,,,,,,
#Std_Dev,0.0,,0.055,,,,,,,
124,840.0,Standard + p.c.(l),26.857,0.6,250.0,0.60,45.2,6.788,2368343.0,2.122
125,840.0,Standard + p.c.(l),26.929,0.6,250.0,0.60,45.2,6.9,2368343.0,2.112
126,840.0,Standard + p.c.(l),26.874,0.7,250.0,0.60,45.3,6.75,2368343.0,1.925
#Mean,840.0,,26.887,,,,,,,
#Std_Dev,0.0,,0.038,,,,,,,
127,860.0,Standard + p.c.(l),26.485,0.6,250.0,0.60,45.9,6.92,2368343.0,2.155
128,860.0,Standard + p.c.(l),26.542,0.6,250.0,0.60,45.7,7.094,2368343.0,1.911
129,860.0,Standard + p.c.(l),26.418,0.6,250.0,0.60,46.0,6.051,2052939.5,2.103
#Mean,860.0,,26.482,,,,,,,
#Std_Dev,0.0,,0.062,,,,,,,
130,880.0,Standard + p.c.(l),26.046,0.6,250.0,0.60,46.7,6.24,2052939.5,2.086
131,880.0,Standard + p.c.(l),26.130,0.7,250.0,0.60,46.7,6.217,2052939.5,2.087
132,880.0,Standard + p.c.(l),26.177,0.6,250.0,0.60,46.7,6.287,2052939.5,2.084
#Mean,880.0,,26.118,,,,,,,
#Std_Dev,0.0,,0.066,,,,,,,
133,900.0,Standard + p.c.(l),25.665,0.6,250.0,0.60,47.5,6.297,2052939.5,2.117
134,900.0,Standard + p.c.(l),25.745,0.6,250.0,0.60,47.4,6.306,2052939.5,2.128
135,900.0,Standard + p.c.(l),25.843,0.6,250.0,0.60,46.8,6.332,2052939.5,2.128
#Mean,900.0,,25.751,,,,,,,
#Std_Dev,0.0,,0.089,,,,,,,
136,920.0,Standard + p.c.(l),25.308,0.6,250.0,0.60,47.8,6.489,2052939.5,1.923
137,920.0,Standard + p.c.(l),25.392,0.7,250.0,0.60,48.0,6.589,2052939.5,2.091
138,920.0,Standard + p.c.(l),25.473,0.6,250.0,0.60,47.6,6.513,2052939.5,1.927
#Mean,920.0,,25.391,,,,,,,
#Std_Dev,0.0,,0.082,,,,,,,
139,940.0,Standard + p.c.(l),24.737,0.6,250.0,0.60,49.1,6.629,2052939.5,2.081
140,940.0,Standard + p.c.(l),24.811,0.7,250.0,0.60,49.6,6.684,2052939.5,1.929
141,940.0,Standard + p.c.(l),24.951,0.7,250.0,0.60,49.0,6.717,2052939.5,2.12
#Mean,940.0,,24.833,,,,,,,
#Std_Dev,0.0,,0.109,,,,,,,
142,960.0,Standard + p.c.(l),24.548,0.6,250.0,0.60,49.3,3.115,1034526.9,1.891
143,960.0,Standard + p.c.(l),24.628,0.7,250.0,0.60,49.4,1.436,513234.9,1.921
144,960.0,Standard + p.c.(l),24.553,1.0,250.0,0.60,48.9,0.1856,125160.2,2.094
#Mean,960.0,,24.576,,,,,,,
#Std_Dev,0.0,,0.045,,,,,,,
145,980.0,Standard + p.c.(l),24.087,0.6,250.0,0.60,50.2,1.716,500640.6,1.943
146,980.0,Standard + p.c.(l),24.305,0.6,250.0,0.60,50.1,6.255,1807312.6,1.928
147,980.0,Standard + p.c.(l),24.524,0.6,250.0,0.60,49.3,6.196,1807312.6,1.96
#Mean,980.0,,24.305,,,,,,,
#Std_Dev,0.0,,0.219,,,,,,,
148,1000.0,Standard + p.c.(l),23.837,0.6,250.0,0.60,50.8,6.319,1807312.6,1.915
149,1000.0,Standard + p.c.(l),24.113,0.6,250.0,0.60,50.3,6.417,1807312.6,1.921
150,1000.0,Standard + p.c.(l),24.215,0.6,250.0,0.60,50.1,6.426,1807312.6,1.908
#Mean,1000.0,,24.055,,,,,,,
#Std_Dev,0.0,,0.196,,,,,,,
151,1020.0,Standard + p.c.(l),23.665,0.6,250.0,0.60,50.8,6.484,1807312.6,1.905
152,1020.0,Standard + p.c.(l),23.756,0.6,250.0,0.60,50.5,6.478,1807312.6,1.951
153,1020.0,Standard + p.c.(l),23.893,0.6,250.0,0.60,50.8,6.591,1807312.6,1.92
#Mean,1020.0,,23.771,,,,,,,
#Std_Dev,0.0,,0.115,,,,,,,
154,1040.0,Standard + p.c.(l),23.476,0.6,250.0,0.60,51.5,6.636,1807312.6,1.918
155,1040.0,Standard + p.c.(l),23.567,0.6,250.0,0.60,51.6,6.636,1807312.6,1.937
156,1040.0,Standard + p.c.(l),23.619,0.6,250.0,0.60,51.3,6.711,1807312.6,1.916
#Mean,1040.0,,23.554,,,,,,,
#Std_Dev,0.0,,0.073,,,,,,,
157,1060.0,Standard + p.c.(l),22.920,0.5,250.0,0.60,52.2,6.68,1807312.6,2.116
158,1060.0,Standard + p.c.(l),23.237,0.6,250.0,0.60,52.3,6.743,1807312.6,1.906
159,1060.0,Standard + p.c.(l),23.318,0.6,250.0,0.60,51.9,6.675,1807312.6,2.115
#Mean,1060.0,,23.158,,,,,,,
#Std_Dev,0.0,,0.210,,,,,,,
160,1080.0,Standard + p.c.(l),22.596,0.5,250.0,0.60,52.9,6.707,1807312.6,2.101
161,1080.0,Standard + p.c.(l),22.796,0.6,250.0,0.60,52.7,6.886,1807312.6,1.917
162,1080.0,Standard + p.c.(l),22.848,0.6,250.0,0.60,52.9,6.758,1807312.6,2.122
#Mean,1080.0,,22.747,,,,,,,
#Std_Dev,0.0,,0.133,,,,,,,
163,1100.0,Standard + p.c.(l),22.531,0.6,250.0,0.60,53.3,6.85,1807312.6,1.921
164,1100.0,Standard + p.c.(l),22.577,0.6,250.0,0.60,53.2,6.875,1807312.6,2.133
165,1100.0,Standard + p.c.(l),22.795,0.6,250.0,0.60,53.2,7.02,1807312.6,1.917
#Mean,1100.0,,22.634,,,,,,,
#Std_Dev,0.0,,0.141,,,,,,,
166,1120.0,Standard + p.c.(l),22.315,0.6,250.0,0.60,54.1,6.958,1807312.6,2.068
167,1120.0,Standard + p.c.(l),22.305,0.6,250.0,0.60,53.8,7.049,1807312.6,2.135
168,1120.0,Standard + p.c.(l),22.338,0.6,250.0,0.60,53.9,7.033,1807312.6,1.895
#Mean,1120.0,,22.319,,,,,,,
#Std_Dev,0.0,,0.017,,,,,,,
169,1140.0,Standard + p.c.(l),21.957,0.6,250.0,0.60,54.7,7.341,1807312.6,1.921
170,1140.0,Standard + p.c.(l),21.879,0.6,250.0,0.60,54.6,5.985,1533211.9,2.127
171,1140.0,Standard + p.c.(l),21.766,0.6,250.0,0.60,54.9,6.112,1533211.9,1.894
#Mean,1140.0,,21.867,,,,,,,
#Std_Dev,0.0,,0.096,,,,,,,
172,1160.0,Standard + p.c.(l),21.295,0.6,250.0,0.60,56.0,6.334,1533211.9,1.909
173,1160.0,Standard + p.c.(l),21.595,0.6,250.0,0.60,55.3,6.437,1533211.9,1.926
174,1160.0,Standard + p.c.(l),21.533,0.6,250.0,0.60,55.5,6.306,1533211.9,1.908
#Mean,1160.0,,21.475,,,,,,,
#Std_Dev,0.0,,0.158,,,,,,,
175,1180.0,Standard + p.c.(l),21.268,0.6,250.0,0.60,56.1,6.325,1533211.9,2.104
176,1180.0,Standard + p.c.(l),21.492,0.6,250.0,0.60,55.6,6.367,1533211.9,1.939
177,1180.0,Standard + p.c.(l),21.510,0.6,250.0,0.60,55.5,6.471,1533211.9,1.915
#Mean,1180.0,,21.423,,,,,,,
#Std_Dev,0.0,,0.135,,,,,,,

