##Thermal_diffusivity

##General_information
#Database,set2.mdb
#Instrument,#LFA_467
#Identity,graphite putty set 2
#Date,2022-12-09
#Material,7 - B
#Ref_temperature /�C,20.0
#Ref_density /(g/cm^3),1.000
#Sample,7
#Type,#Single_layer
#Sample position,B
#Spotsize,2.8
#Filter,0
#Thickness_RT/mm,2.9600
#Diameter/mm,9.800
#Sensor,InSb (HT)
#Operator,MJA
#Remark_mment,---
#Cp_table,Cp_const
#Expansion_table,dL_const
#CalcCode,Standard + p.c./l/0-0-0
#MFC_Purge2_Gas,ARGON
#MFC_Protective_Gas,ARGON
,

##Results
#Shot_number,#Temperature/C,#Model,#Diffusivity/(mm^2/s),#Uncertainty/%,#Laser_voltage/V,#Pulse_width/ms,#Half_time,#T_Infin,#Ampl_gain,#Pulse_integr
147,980.0,Standard + p.c.(l),3.182,0.2,250.0,0.60,341.4,7.658,2234187.0,1.92
#Mean,980.0,,3.153,,,,,,,
#Std_Dev,0.0,,0.028,,,,,,,
148,1000.0,Standard + p.c.(l),3.187,0.3,250.0,0.60,339.8,7.778,2234187.0,2.071
149,1000.0,Standard + p.c.(l),3.226,0.2,250.0,0.60,336.5,7.802,2234187.0,2.09
150,1000.0,Standard + p.c.(l),3.222,0.2,250.0,0.60,337.6,7.789,2234187.0,2.067
#Mean,1000.0,,3.212,,,,,,,
#Std_Dev,0.0,,0.021,,,,,,,
151,1020.0,Standard + p.c.(l),3.234,0.1,250.0,0.60,334.5,7.926,2234187.0,2.088
152,1020.0,Standard + p.c.(l),3.258,0.2,250.0,0.60,334.5,7.866,2234187.0,1.901
153,1020.0,Standard + p.c.(l),3.230,0.2,250.0,0.60,334.6,8.052,2234187.0,1.886
#Mean,1020.0,,3.241,,,,,,,
#Std_Dev,0.0,,0.015,,,,,,,
154,1040.0,Standard + p.c.(l),3.247,0.2,250.0,0.60,332.6,7.953,2234187.0,1.912
155,1040.0,Standard + p.c.(l),3.290,0.2,250.0,0.60,330.0,8.027,2234187.0,2.105
156,1040.0,Standard + p.c.(l),3.311,0.2,250.0,0.60,327.9,8.094,2234187.0,2.082
#Mean,1040.0,,3.283,,,,,,,
#Std_Dev,0.0,,0.033,,,,,,,
157,1060.0,Standard + p.c.(l),3.295,0.2,250.0,0.60,328.4,8.107,2234187.0,1.902
158,1060.0,Standard + p.c.(l),3.338,0.2,250.0,0.60,325.0,8.236,2234187.0,2.087
159,1060.0,Standard + p.c.(l),3.353,0.2,250.0,0.60,324.1,8.176,2234187.0,1.932
#Mean,1060.0,,3.329,,,,,,,
#Std_Dev,0.0,,0.030,,,,,,,
160,1080.0,Standard + p.c.(l),3.314,0.2,250.0,0.60,324.4,8.279,2234187.0,2.12
161,1080.0,Standard + p.c.(l),3.358,0.1,250.0,0.60,321.0,8.491,2234187.0,1.901
162,1080.0,Standard + p.c.(l),3.358,0.2,250.0,0.60,321.1,8.539,2234187.0,1.907
#Mean,1080.0,,3.343,,,,,,,
#Std_Dev,0.0,,0.025,,,,,,,
163,1100.0,Standard + p.c.(l),3.288,0.3,250.0,0.60,324.0,8.581,2234187.0,2.112
164,1100.0,Standard + p.c.(l),3.342,0.2,250.0,0.60,321.4,8.544,2234187.0,1.911
